ClipID,binary_label
1100011002,1
1100011003,1
1100011004,1
1100011005,1
1100011006,1
1100011007,1
1100011008,1
1100011009,1
1100011010,1
1100011011,1
1100011012,1
1100011013,1
1100011014,1
1100011015,1
1100011016,1
1100011017,1
1100011018,1
1100011019,1
1100011020,1
1100011021,1
1100011022,1
1100011023,1
1100011025,1
1100011026,1
1100011027,1
1100011028,1
1100011029,1
1100011031,1
1100011032,1
1100011034,1
1100011035,1
1100011037,1
1100011038,1
1100011040,1
1100011046,1
1100011047,1
1100011048,1
1100011049,1
1100011050,1
1100011051,1
1100011052,1
1100011053,1
1100011054,1
1100011055,1
1100011056,1
1100011057,1
1100011058,1
1100011059,1
1100011060,1
1100011062,1
1100011063,1
1100011064,1
1100011066,1
1100011067,1
1100011068,1
1100011069,1
1100011070,1
1100011071,1
1100011072,1
1100011073,1
1100011075,1
1100011076,1
1100011078,1
1100011079,1
1100011080,1
1100011081,1
1100011082,1
1100011083,1
1100012001,1
1100012003,1
1100012007,1
1100012008,1
1100012009,1
1100012010,1
1100012011,1
1100012013,1
1100012014,1
1100012015,1
1100012016,1
1100012017,1
1100012018,1
1100012021,1
1100012022,1
1100012023,1
1100012025,1
1100012026,1
1100012027,1
1100012028,1
1100012030,1
1100012031,1
1100012032,1
1100012033,1
1100012036,1
1100012037,1
1100012038,1
1100012041,1
1100012042,1
1100012045,1
1100012046,1
1100012047,1
1100012049,1
1100012050,1
1100012051,1
1100012052,1
1100012057,1
1100012059,1
1100012060,1
1100012061,1
1100012062,1
1100012063,1
1100012064,1
1100012065,1
1100012066,1
1100012069,1
1100021001,1
1100021003,0
1100021015,1
1100021038,1
1100021039,1
1100021040,1
1100021045,1
1100021050,1
1100021055,0
1100022001,1
1100022002,1
1100022003,1
1100022004,1
1100022005,0
1100022008,1
1100022009,1
1100022014,1
1100022019,1
1100022020,1
1100022021,1
1100022022,1
1100022026,1
1100022027,1
1100022028,1
1100022029,1
1100022031,1
1100022035,1
1100022038,1
1100022039,1
1100022045,1
1100022046,1
1100022047,1
1100022048,1
1100022049,1
1100022051,1
1100022052,1
1100022053,1
1100022054,1
1100022055,1
1100022056,1
1100022057,1
1100041006,1
1100041015,1
1100041016,1
1100041017,1
1100041018,1
1100041021,1
1100041022,1
1100041023,1
1100041024,1
1100041029,1
1100041034,1
1100041044,1
1100041051,1
1100041052,1
1100042009,1
1100042010,1
1100042011,1
1100042017,1
1100042018,1
1100042019,1
1100042020,1
1100042023,0
1100042024,1
1100042025,1
1100042026,0
1100042029,1
1100042030,1
1100042031,1
1100042034,1
1100042040,1
1100042041,1
1100042058,1
1100042059,1
1100042060,1
1100051002,1
1100051004,1
1100051006,1
1100051007,0
1100051008,1
1100051009,1
1100051011,1
1100051012,1
1100051013,1
1100051014,1
1100051016,0
1100051017,1
1100051019,1
1100051020,1
1100051021,1
1100051022,1
1100051023,1
1100051024,1
1100051025,1
1100051026,1
1100051028,1
1100051029,1
1100051030,0
1100051031,0
1100051032,1
1100051033,1
1100051034,1
1100051035,1
1100051036,1
1100051037,1
1100051039,1
1100051041,1
1100051042,1
1100051044,1
1100051045,1
1100051046,1
1100051048,1
1100051049,1
1100051050,1
1100051051,1
1100051052,1
1100051053,0
1100051054,1
1100051055,1
1100051056,1
1100051057,1
1100051059,1
1100051061,1
1100051062,1
1100051064,1
1100051065,1
1100051066,1
1100051067,1
1100051068,1
1100051071,1
1100051076,1
1100051078,1
1100051079,1
1100052001,1
1100052002,1
1100052006,1
1100052007,1
1100052008,1
1100052009,1
1100052014,0
1100052023,1
1100052024,1
1100052026,1
1100052027,1
1100052028,1
1100052030,1
1100052031,1
1100052032,1
1100052033,1
1100052035,1
1100052036,1
1100052037,1
1100052038,1
1100052039,1
1100052040,1
1100052041,1
1100052047,1
1100052048,1
1100052049,1
1100052051,1
1100052055,1
1100052057,1
1100052060,1
1100052061,1
1100052062,1
1100052065,1
1100052068,1
1100052070,1
1100061009,1
1100061010,1
1100061011,1
1100061012,1
1100061013,1
1100061015,1
1100061016,1
1100061018,1
1100061019,1
1100061022,1
1100061023,1
1100061025,1
1100061027,1
1100061028,1
1100061030,1
1100061031,1
1100061032,1
1100061033,1
1100061034,1
1100061035,1
1100061036,1
1100061038,1
1100061039,1
1100061040,1
1100061042,1
1100061043,1
1100061044,1
1100061046,1
1100061047,1
1100061048,1
1100061049,1
1100061050,1
1100061051,1
1100061053,1
1100061057,1
1100061058,1
1100061061,1
1100061063,1
1100061064,1
1100061067,1
1100061068,1
