ClipID,binary_label
4000221001,1
4000221002,1
4000221006,0
4000221008,1
4000221009,0
4000221010,0
4000221011,0
4000221013,0
4000221014,0
4000221015,0
4000221016,1
4000221017,1
4000221018,1
4000221024,0
4000221033,0
4000221034,0
4000221035,0
4000221036,0
4000221040,0
4000221041,0
4000221042,0
4000221054,1
4000221055,0
4000221061,1
4000221062,0
4000221064,0
4000221065,0
4000221066,0
4000221067,1
4000221071,0
4000221072,0
4000222001,1
4000222003,0
4000222004,0
4000222007,0
4000222012,1
4000222013,0
4000222014,0
4000222015,0
4000222017,0
4000222031,0
4000222032,0
4000222035,0
4000222036,0
4000222038,1
4000222039,0
4000222040,0
4000222041,0
4000222042,0
4000222044,0
4000222045,1
4000222046,1
4000222051,0
4000222052,0
4000222054,1
4000222056,0
4000222057,0
4000222068,0
4000222069,0
4000222070,0
4000231001,1
4000231008,0
4000231010,1
4000231011,1
4000231012,1
4000231013,0
4000231014,1
4000231021,1
4000231032,1
4000231033,0
4000231034,1
4000231037,1
4000231038,1
4000231047,0
4000231049,1
4000231052,0
4000231060,1
4000231061,0
4000231063,0
4000231065,1
4000231070,1
4000231071,0
4000231073,1
4000231074,1
4000231081,1
4000232001,1
4000232004,1
4000232005,0
4000232006,1
4000232007,1
4000232010,1
4000232016,1
4000232017,1
4000232018,1
4000232022,0
4000232024,1
4000232027,1
4000232034,1
4000232035,0
4000232036,1
4000232037,1
4000232038,1
4000232042,0
4000232044,1
4000232045,1
4000232048,1
4000232051,1
4000232054,0
4000232059,0
4000232062,0
4000232065,1
4000232068,1
4000232071,0
4000232072,0
4000301002,0
4000301003,0
4000301005,0
4000301006,0
4000301007,0
4000301008,0
4000301010,0
4000301011,0
4000301012,0
4000301013,0
4000301014,0
4000301015,0
4000301016,1
4000301018,1
4000301019,0
4000301020,0
4000301021,0
4000301022,0
4000301023,1
4000301025,1
4000301026,1
4000301027,1
4000301028,0
4000301030,0
4000301031,0
4000301032,1
4000301034,0
4000301038,1
4000301039,1
4000301040,0
4000301041,1
4000301042,0
4000301043,1
4000301044,1
4000301045,1
4000301047,1
4000301049,0
4000301052,1
4000301053,1
4000301054,0
4000301055,0
4000301056,0
4000301057,1
4000301058,0
4000301059,1
4000301060,0
4000301061,0
4000301062,1
4000301063,1
4000301064,1
4000301065,0
4000301066,0
4000301067,0
4000301068,0
4000301069,0
4000301070,0
4000301071,0
4000301072,1
4000301073,1
4000301074,1
4000301076,0
4000301079,0
4000331001,1
4000331002,1
4000331003,1
4000331004,1
4000331005,1
4000331006,1
4000331007,1
4000331008,1
4000331011,1
4000331012,1
4000331013,0
4000331015,0
4000331017,0
4000331019,1
4000331020,1
4000331021,0
4000331022,0
4000331023,1
4000331025,1
4000331027,1
4000331029,0
4000331030,1
4000331031,1
4000331032,1
4000331033,1
4000331035,1
4000331036,0
4000331037,0
4000331038,1
4000331039,0
4000331040,0
4000331041,0
4000331042,1
4000331043,1
4000331044,1
4000331045,1
4000331046,1
4000331051,0
4000331052,1
4000331053,1
4000331054,1
4000331055,0
4000331056,0
4000331057,1
4000331058,0
4000331060,0
4000331062,1
4000331063,0
4000331064,0
4000331067,1
4000331068,1
4000331069,1
4000332001,1
4000332002,0
4000332007,1
4000332008,1
4000332009,1
4000332010,0
4000332012,0
4000332013,1
4000332014,1
4000332015,0
4000332017,1
4000332019,1
4000332020,1
4000332021,0
4000332022,0
4000332023,0
4000332025,1
4000332027,1
4000332030,0
4000332031,0
4000332032,0
4000332034,1
4000332035,1
4000332036,1
4000332037,1
4000332038,0
4000332039,0
4000332041,1
4000332044,1
4000332045,0
4000332046,0
4000332048,1
4000332050,1
4000332051,0
4000332052,1
4000332057,0
4000332059,0
4000332060,1
4000332061,0
4000332062,1
4000332063,1
4000332064,0
4000332066,1
4000332067,1
4000332068,1
4000332071,0
4000332072,0
4000332073,0
4000332074,1
4000332075,0
4000332077,0
4000332078,0
4000332079,1
4000332080,1
4000332081,1
4000332082,0
4100191001,0
4100191002,1
4100191003,1
4100191004,1
4100191006,0
4100191007,0
4100191008,0
4100191010,0
4100191012,0
4100191014,0
4100191016,0
4100191017,0
4100191018,0
4100191020,0
4100191021,0
4100191023,0
