folder,focused,unfocused,margin,predicted_label,engine,frames_used
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_A_C_T,0.8570349216461182,0.14296504855155945,0.7140698730945587,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_A_D_T,0.8781811594963074,0.12181881070137024,0.7563623487949371,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_A_E_T,0.8740087747573853,0.12599129974842072,0.7480174750089645,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_A_F_T,0.7745109796524048,0.2254890501499176,0.5490219295024872,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_A_T_T,0.8994090557098389,0.10059095919132233,0.7988180965185165,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_A_U_T,0.9001514315605164,0.09984859079122543,0.8003028407692909,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_D_C_T,0.8022842407226562,0.19771575927734375,0.6045684814453125,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_D_D_T,0.899025022983551,0.10097489506006241,0.7980501279234886,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_D_E_T,0.8883174657821655,0.11168249696493149,0.776634968817234,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_D_F_T,0.8303149342536926,0.16968506574630737,0.6606298685073853,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_D_T_T,0.9193281531333923,0.08067182451486588,0.8386563286185265,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_D_U_T,0.9032261967658997,0.09677381068468094,0.8064523860812187,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_F_C_T,0.8502905368804932,0.14970938861370087,0.7005811482667923,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_F_D_T,0.9017465710639954,0.09825344383716583,0.8034931272268295,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_F_E_T,0.895102858543396,0.10489706695079803,0.790205791592598,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_F_F_T,0.8206098675727844,0.17939017713069916,0.6412196904420853,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_F_H_T,0.9099652767181396,0.09003472328186035,0.8199305534362793,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_F_T_T,0.9284099340438843,0.07159001380205154,0.8568199202418327,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_F_U_T,0.8969525098800659,0.10304752737283707,0.7939049825072289,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_N_D_T,0.8843831419944763,0.11561683565378189,0.7687663063406944,0,CLIP,30
C:/Users/user/Downloads/126.eye/01-1.data/Training/01.data/TS/001/T1/image_30_face_crop\NIA22EYE_S1_001_T1_S01_L_rgb_N_E_T,0.898681104183197,0.1013188511133194,0.7973622530698776,0,CLIP,30
